epoch,train_loss,val_loss,val_log_mse_total,lr,train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
71,0.06893648639678418,0.06922763920755053,0.6231218576431274,0.0008849169917149531,0.15721948,0.15788288,0.3587395,0.086856075,0.08719095,0.20069411,0.018112853,0.018210806,0.036436457,0.013557505,0.013625929,0.027251858
72,0.06893791905429449,0.06927459430837846,0.6265484094619751,0.0008814967491558512,0.15721092,0.15785804,0.3592674,0.086868525,0.08737895,0.20354153,0.018117214,0.018234469,0.036485575,0.013554931,0.0136269415,0.027253937
73,0.06893960138286846,0.06925941147257285,0.6275644898414612,0.000878033241024675,0.1572243,0.15803012,0.36333346,0.08686662,0.087188564,0.2005736,0.018111812,0.018199578,0.036418717,0.013555773,0.013619345,0.02723874
74,0.06893562030540666,0.06929397647046989,0.6237804293632507,0.0008745268601181155,0.1572331,0.15807904,0.35897025,0.086852595,0.0872249,0.20104371,0.018107628,0.018206216,0.03643472,0.013549145,0.013665786,0.027331768
75,0.0689316432689259,0.06917277424459908,0.6219053864479065,0.000870978004095068,0.15720215,0.15779203,0.35801426,0.08685663,0.08712989,0.20033395,0.01811013,0.018191272,0.03640137,0.013557767,0.013577898,0.02715583
76,0.06892584193234753,0.06938189392673037,0.6240854263305664,0.0008673870754315336,0.15718892,0.1582943,0.36148724,0.08685251,0.08732964,0.1987776,0.018109785,0.018254258,0.036521852,0.013552178,0.013649385,0.02729877
77,0.06893220836804419,0.06925786477530617,0.6250731348991394,0.0008637544813749746,0.15721679,0.1578711,0.36105156,0.08685393,0.08727628,0.2002319,0.01810413,0.018247059,0.036515653,0.013554009,0.013637019,0.02727404
78,0.06892919228411516,0.06929041437454708,0.6247605681419373,0.0008600806338981279,0.157201,0.15805362,0.35980552,0.08685284,0.08728494,0.20129152,0.018110123,0.018197948,0.036413174,0.013552592,0.013625122,0.027250357
79,0.06891170349288496,0.06926707119539607,0.6256133913993835,0.0008563659496522842,0.15716873,0.15795727,0.35995373,0.08682206,0.08730399,0.20203091,0.018107308,0.01821297,0.036440536,0.0135489395,0.013594085,0.027188191
80,0.06892146539512597,0.06930534345764962,0.6268054246902466,0.0008526108499200343,0.1571956,0.15809156,0.36215937,0.0868366,0.08725189,0.20087223,0.018103983,0.0182083,0.036434483,0.01354971,0.013669671,0.027339352
